1, Carbon Monoxide, 50, 01-01-2021
2, Carbon Monoxide, 50, 02-01-2021
3, Carbon Monoxide, 49, 03-01-2021
4, Carbon Monoxide, 47, 04-01-2021
5, Carbon Monoxide, 48, 05-01-2021
6, Carbon Monoxide, 48, 06-01-2021
7, Carbon Monoxide, 50, 07-01-2021
8, Carbon Monoxide, 50, 08-01-2021
9, Carbon Monoxide, 51, 09-01-2021
10, Carbon Monoxide, 51, 10-01-2021
11, Carbon Monoxide, 50, 11-01-2021
12, Carbon Monoxide, 50, 12-01-2021
13, Carbon Monoxide, 50, 13-01-2021
14, Carbon Monoxide, 49, 14-01-2021
1, Sulfur Dioxide, 0.145, 01-01-2021
2, Sulfur Dioxide, 0.156, 02-01-2021
3, Sulfur Dioxide, 0.148, 03-01-2021
4, Sulfur Dioxide, 0.142, 04-01-2021
5, Sulfur Dioxide, 0.157, 05-01-2021
6, Sulfur Dioxide, 0.167, 06-01-2021
7, Sulfur Dioxide, 0.180, 07-01-2021
8, Sulfur Dioxide, 0.193, 08-01-2021
9, Sulfur Dioxide, 0.209, 09-01-2021
10, Sulfur Dioxide, 0.220, 10-01-2021
11, Sulfur Dioxide, 0.208, 11-01-2021
12, Sulfur Dioxide, 0.199, 12-01-2021
13, Sulfur Dioxide, 0.190, 13-01-2021
14, Sulfur Dioxide, 0.191, 14-01-2021
